Epoch,Train Loss,Test Loss
1,0.00984061859479105,0.010948563654991713
2,0.0034719797210994536,0.007513950282538479
3,0.003264846083727818,0.005998182542283427
4,0.0030713835373895352,0.005184016287834807
5,0.002853511573337807,0.004696957242082466
6,0.002640410799473997,0.004305797061798247
7,0.002440085168311954,0.004180353994227269
8,0.002263503867970218,0.003777070970020511
9,0.002097936378540619,0.0032829067373478953
10,0.001954357536440646,0.002887556801380759
11,0.0018424152626986146,0.002523422715338794
12,0.0017597430438621255,0.002226883475668728
13,0.0016999991842244983,0.0020392799855802547
14,0.0016566588110339744,0.0019424287750470367
15,0.0016237413202703156,0.001901788474060595
16,0.001596561605024531,0.0018908256305042992
17,0.00157219399827429,0.0018928594844923778
18,0.0015490741491140355,0.0018977866444567387
19,0.0015264765892877544,0.00189905759497461
20,0.0015040802856828405,0.0018924189011820338
21,0.0014817198087392306,0.001874834618700499
22,0.001459253717536629,0.0018445899667726322
23,0.0014365491809609232,0.0018013526981865819
24,0.0014134455187660125,0.0017459385710853067
25,0.001389769864670203,0.0016804926520721478
26,0.0013653867546636513,0.0016079175434159962
27,0.001340201493197431,0.0015315725775012238
28,0.00131420015139387,0.0014547468850981784
29,0.0012873998558562663,0.0013802659401500766
30,0.0012598900538967756,0.001310275155331262
31,0.0012317871017056324,0.0012461023426360706
32,0.001203268212044523,0.001188182368324223
33,0.001174573082213226,0.0011359908194704489
34,0.0011460194702964848,0.0010880419095470146
35,0.0011179813283320674,0.0010421937066976998
36,0.0010908346322288727,0.0009965112168257208
37,0.001064845802146626,0.000950373681685464
38,0.0010401078031112554,0.0009049438998441805
39,0.0010165096132488793,0.0008623700557191941
40,0.0009938298657452738,0.000824475856709548
41,0.0009718476234141875,0.0007921720548024909
42,0.0009504824323350534,0.0007656036844392391
43,0.0009298565975826471,0.0007442952715791762
44,0.0009101903513837705,0.0007271366659551859
45,0.0008915592626811414,0.0007126736750995571
46,0.0008738442618527977,0.0006996323650872166
47,0.0008568477465169968,0.000687030190601945
48,0.0008403793633016191,0.0006742818524468351
49,0.000824298984500476,0.0006610460341273045
50,0.0008085178568276759,0.0006471829848702658
51,0.0007929904922281229,0.000632693904811855
52,0.0007776971887944946,0.0006176191181029108
53,0.000762637273134989,0.000602086569944566
54,0.0007478250112081509,0.0005862355369820513
55,0.0007332822994117147,0.0005702571811112152
56,0.0007190412582112624,0.0005543326535685496
57,0.0007051368902755221,0.0005386525876185094
58,0.0006916100025625417,0.0005233907955698669
59,0.000678499928514212,0.0005086850343187424
60,0.0006658385442163322,0.0004946358464869925
61,0.0006536568535637189,0.00048131209967488593
62,0.0006419670489824884,0.0004687558764337816
63,0.0006307842078736969,0.0004570035909471864
64,0.0006200252099285425,0.0004460209874774922
65,0.000609704813791843,0.0004360574562187222
66,0.0006000026127338291,0.00042680520299737427
67,0.0005908237593728931,0.00041832601101222364
68,0.000582162320762306,0.0004105893625158139
69,0.0005739627105877463,0.0004034206027757715
70,0.0005662065709537024,0.0003969901183154434
71,0.0005588367112164469,0.00039118793713648547
72,0.0005518584344326641,0.00038581349283710797
73,0.0005452253296940523,0.0003809363777029582
74,0.000538937722609339,0.0003765246359927749
75,0.0005329142490318094,0.0003725829330505803
76,0.0005271986979842137,0.00036926497784654864
77,0.0005218230511884762,0.000366250792814588
78,0.0005167227875313194,0.00036350009190341966
79,0.0005118837018026699,0.00036095416845372794
80,0.0005073101064510565,0.00035856653782750735
81,0.0005030704153425715,0.0003562730977798558
82,0.0004991178206635008,0.0003540667123161256
83,0.0004953437131551149,0.00035207797005899587
84,0.0004918819588883755,0.00035041546666021034
